#           k/h    P           
    0.10000E-03    0.97875E+02
    0.10202E-03    0.99784E+02
    0.10408E-03    0.10173E+03
    0.10618E-03    0.10371E+03
    0.10833E-03    0.10574E+03
    0.11052E-03    0.10780E+03
    0.11275E-03    0.10990E+03
    0.11503E-03    0.11204E+03
    0.11735E-03    0.11423E+03
    0.11972E-03    0.11645E+03
    0.12214E-03    0.11872E+03
    0.12461E-03    0.12104E+03
    0.12712E-03    0.12340E+03
    0.12969E-03    0.12580E+03
    0.13231E-03    0.12826E+03
    0.13499E-03    0.13076E+03
    0.13771E-03    0.13331E+03
    0.14049E-03    0.13590E+03
    0.14333E-03    0.13855E+03
    0.14623E-03    0.14125E+03
    0.14918E-03    0.14401E+03
    0.15220E-03    0.14681E+03
    0.15527E-03    0.14968E+03
    0.15841E-03    0.15259E+03
    0.16161E-03    0.15557E+03
    0.16487E-03    0.15860E+03
    0.16820E-03    0.16169E+03
    0.17160E-03    0.16484E+03
    0.17507E-03    0.16805E+03
    0.17860E-03    0.17132E+03
    0.18221E-03    0.17466E+03
    0.18589E-03    0.17807E+03
    0.18965E-03    0.18153E+03
    0.19348E-03    0.18507E+03
    0.19739E-03    0.18868E+03
    0.20138E-03    0.19235E+03
    0.20544E-03    0.19610E+03
    0.20959E-03    0.19992E+03
    0.21383E-03    0.20381E+03
    0.21815E-03    0.20778E+03
    0.22255E-03    0.21182E+03
    0.22705E-03    0.21595E+03
    0.23164E-03    0.22015E+03
    0.23632E-03    0.22444E+03
    0.24109E-03    0.22881E+03
    0.24596E-03    0.23326E+03
    0.25093E-03    0.23780E+03
    0.25600E-03    0.24243E+03
    0.26117E-03    0.24714E+03
    0.26645E-03    0.25195E+03
    0.27183E-03    0.25685E+03
    0.27732E-03    0.26185E+03
    0.28292E-03    0.26694E+03
    0.28864E-03    0.27213E+03
    0.29447E-03    0.27742E+03
    0.30042E-03    0.28282E+03
    0.30649E-03    0.28831E+03
    0.31268E-03    0.29392E+03
    0.31899E-03    0.29963E+03
    0.32544E-03    0.30545E+03
    0.33201E-03    0.31138E+03
    0.33872E-03    0.31743E+03
    0.34556E-03    0.32360E+03
    0.35254E-03    0.32988E+03
    0.35966E-03    0.33629E+03
    0.36693E-03    0.34281E+03
    0.37434E-03    0.34946E+03
    0.38190E-03    0.35625E+03
    0.38962E-03    0.36316E+03
    0.39749E-03    0.37020E+03
    0.40552E-03    0.37738E+03
    0.41371E-03    0.38469E+03
    0.42207E-03    0.39215E+03
    0.43060E-03    0.39974E+03
    0.43929E-03    0.40749E+03
    0.44817E-03    0.41538E+03
    0.45722E-03    0.42342E+03
    0.46646E-03    0.43161E+03
    0.47588E-03    0.43996E+03
    0.48550E-03    0.44847E+03
    0.49530E-03    0.45714E+03
    0.50531E-03    0.46598E+03
    0.51552E-03    0.47498E+03
    0.52593E-03    0.48416E+03
    0.53656E-03    0.49350E+03
    0.54739E-03    0.50303E+03
    0.55845E-03    0.51273E+03
    0.56973E-03    0.52262E+03
    0.58124E-03    0.53269E+03
    0.59299E-03    0.54295E+03
    0.60496E-03    0.55341E+03
    0.61719E-03    0.56406E+03
    0.62965E-03    0.57491E+03
    0.64237E-03    0.58597E+03
    0.65535E-03    0.59723E+03
    0.66859E-03    0.60870E+03
    0.68210E-03    0.62038E+03
    0.69588E-03    0.63229E+03
    0.70993E-03    0.64441E+03
    0.72427E-03    0.65676E+03
    0.73891E-03    0.66933E+03
    0.75383E-03    0.68214E+03
    0.76906E-03    0.69519E+03
    0.78460E-03    0.70847E+03
    0.80045E-03    0.72200E+03
    0.81662E-03    0.73578E+03
    0.83311E-03    0.74981E+03
    0.84994E-03    0.76409E+03
    0.86711E-03    0.77864E+03
    0.88463E-03    0.79345E+03
    0.90250E-03    0.80852E+03
    0.92073E-03    0.82387E+03
    0.93933E-03    0.83950E+03
    0.95831E-03    0.85541E+03
    0.97767E-03    0.87161E+03
    0.99742E-03    0.88809E+03
    0.10176E-02    0.90487E+03
    0.10381E-02    0.92195E+03
    0.10591E-02    0.93933E+03
    0.10805E-02    0.95702E+03
    0.11023E-02    0.97502E+03
    0.11246E-02    0.99334E+03
    0.11473E-02    0.10120E+04
    0.11705E-02    0.10309E+04
    0.11941E-02    0.10502E+04
    0.12182E-02    0.10699E+04
    0.12429E-02    0.10898E+04
    0.12680E-02    0.11102E+04
    0.12936E-02    0.11308E+04
    0.13197E-02    0.11519E+04
    0.13464E-02    0.11732E+04
    0.13736E-02    0.11950E+04
    0.14013E-02    0.12171E+04
    0.14296E-02    0.12396E+04
    0.14585E-02    0.12624E+04
    0.14880E-02    0.12857E+04
    0.15180E-02    0.13093E+04
    0.15487E-02    0.13333E+04
    0.15800E-02    0.13577E+04
    0.16119E-02    0.13826E+04
    0.16445E-02    0.14078E+04
    0.16777E-02    0.14334E+04
    0.17116E-02    0.14594E+04
    0.17462E-02    0.14859E+04
    0.17814E-02    0.15128E+04
    0.18174E-02    0.15401E+04
    0.18541E-02    0.15678E+04
    0.18916E-02    0.15960E+04
    0.19298E-02    0.16246E+04
    0.19688E-02    0.16536E+04
    0.20086E-02    0.16831E+04
    0.20491E-02    0.17130E+04
    0.20905E-02    0.17434E+04
    0.21328E-02    0.17743E+04
    0.21758E-02    0.18056E+04
    0.22198E-02    0.18373E+04
    0.22646E-02    0.18695E+04
    0.23104E-02    0.19022E+04
    0.23571E-02    0.19353E+04
    0.24047E-02    0.19689E+04
    0.24533E-02    0.20030E+04
    0.25028E-02    0.20376E+04
    0.25534E-02    0.20726E+04
    0.26050E-02    0.21081E+04
    0.26576E-02    0.21440E+04
    0.27113E-02    0.21805E+04
    0.27660E-02    0.22174E+04
    0.28219E-02    0.22548E+04
    0.28789E-02    0.22926E+04
    0.29371E-02    0.23309E+04
    0.29964E-02    0.23697E+04
    0.30569E-02    0.24090E+04
    0.31187E-02    0.24487E+04
    0.31817E-02    0.24889E+04
    0.32460E-02    0.25295E+04
    0.33115E-02    0.25706E+04
    0.33784E-02    0.26122E+04
