#           k/h    P           
    0.10000E-03    0.91210E+01
    0.10202E-03    0.92988E+01
    0.10408E-03    0.94802E+01
    0.10618E-03    0.96651E+01
    0.10833E-03    0.98535E+01
    0.11052E-03    0.10046E+02
    0.11275E-03    0.10242E+02
    0.11503E-03    0.10441E+02
    0.11735E-03    0.10645E+02
    0.11972E-03    0.10852E+02
    0.12214E-03    0.11064E+02
    0.12461E-03    0.11280E+02
    0.12712E-03    0.11500E+02
    0.12969E-03    0.11724E+02
    0.13231E-03    0.11953E+02
    0.13499E-03    0.12186E+02
    0.13771E-03    0.12423E+02
    0.14049E-03    0.12665E+02
    0.14333E-03    0.12912E+02
    0.14623E-03    0.13164E+02
    0.14918E-03    0.13421E+02
    0.15220E-03    0.13682E+02
    0.15527E-03    0.13949E+02
    0.15841E-03    0.14221E+02
    0.16161E-03    0.14498E+02
    0.16487E-03    0.14781E+02
    0.16820E-03    0.15069E+02
    0.17160E-03    0.15363E+02
    0.17507E-03    0.15662E+02
    0.17860E-03    0.15967E+02
    0.18221E-03    0.16279E+02
    0.18589E-03    0.16596E+02
    0.18965E-03    0.16919E+02
    0.19348E-03    0.17249E+02
    0.19739E-03    0.17585E+02
    0.20138E-03    0.17928E+02
    0.20544E-03    0.18277E+02
    0.20959E-03    0.18633E+02
    0.21383E-03    0.18996E+02
    0.21815E-03    0.19366E+02
    0.22255E-03    0.19743E+02
    0.22705E-03    0.20128E+02
    0.23164E-03    0.20520E+02
    0.23632E-03    0.20920E+02
    0.24109E-03    0.21327E+02
    0.24596E-03    0.21742E+02
    0.25093E-03    0.22166E+02
    0.25600E-03    0.22597E+02
    0.26117E-03    0.23037E+02
    0.26645E-03    0.23486E+02
    0.27183E-03    0.23943E+02
    0.27732E-03    0.24409E+02
    0.28292E-03    0.24884E+02
    0.28864E-03    0.25368E+02
    0.29447E-03    0.25862E+02
    0.30042E-03    0.26365E+02
    0.30649E-03    0.26878E+02
    0.31268E-03    0.27401E+02
