#           k/h    P           
    0.10000E-03    0.45090E+02
    0.10202E-03    0.45970E+02
    0.10408E-03    0.46866E+02
    0.10618E-03    0.47780E+02
    0.10833E-03    0.48712E+02
    0.11052E-03    0.49662E+02
    0.11275E-03    0.50630E+02
    0.11503E-03    0.51617E+02
    0.11735E-03    0.52624E+02
    0.11972E-03    0.53650E+02
    0.12214E-03    0.54696E+02
    0.12461E-03    0.55762E+02
    0.12712E-03    0.56849E+02
    0.12969E-03    0.57957E+02
    0.13231E-03    0.59087E+02
    0.13499E-03    0.60239E+02
    0.13771E-03    0.61414E+02
    0.14049E-03    0.62611E+02
    0.14333E-03    0.63831E+02
    0.14623E-03    0.65076E+02
    0.14918E-03    0.66344E+02
    0.15220E-03    0.67637E+02
    0.15527E-03    0.68955E+02
    0.15841E-03    0.70299E+02
    0.16161E-03    0.71670E+02
    0.16487E-03    0.73066E+02
    0.16820E-03    0.74490E+02
    0.17160E-03    0.75942E+02
    0.17507E-03    0.77422E+02
    0.17860E-03    0.78930E+02
    0.18221E-03    0.80468E+02
    0.18589E-03    0.82036E+02
    0.18965E-03    0.83634E+02
    0.19348E-03    0.85264E+02
    0.19739E-03    0.86925E+02
    0.20138E-03    0.88618E+02
    0.20544E-03    0.90344E+02
    0.20959E-03    0.92103E+02
    0.21383E-03    0.93897E+02
    0.21815E-03    0.95726E+02
    0.22255E-03    0.97590E+02
    0.22705E-03    0.99490E+02
    0.23164E-03    0.10143E+03
    0.23632E-03    0.10340E+03
    0.24109E-03    0.10541E+03
    0.24596E-03    0.10747E+03
    0.25093E-03    0.10956E+03
    0.25600E-03    0.11169E+03
    0.26117E-03    0.11386E+03
    0.26645E-03    0.11608E+03
    0.27183E-03    0.11834E+03
    0.27732E-03    0.12064E+03
    0.28292E-03    0.12299E+03
    0.28864E-03    0.12538E+03
    0.29447E-03    0.12782E+03
    0.30042E-03    0.13030E+03
    0.30649E-03    0.13284E+03
    0.31268E-03    0.13542E+03
    0.31899E-03    0.13805E+03
    0.32544E-03    0.14073E+03
    0.33201E-03    0.14347E+03
    0.33872E-03    0.14626E+03
    0.34556E-03    0.14910E+03
    0.35254E-03    0.15199E+03
    0.35966E-03    0.15494E+03
    0.36693E-03    0.15795E+03
    0.37434E-03    0.16102E+03
    0.38190E-03    0.16414E+03
    0.38962E-03    0.16733E+03
    0.39749E-03    0.17057E+03
    0.40552E-03    0.17388E+03
    0.41371E-03    0.17725E+03
    0.42207E-03    0.18069E+03
    0.43060E-03    0.18419E+03
    0.43929E-03    0.18776E+03
    0.44817E-03    0.19140E+03
    0.45722E-03    0.19511E+03
    0.46646E-03    0.19888E+03
    0.47588E-03    0.20273E+03
    0.48550E-03    0.20665E+03
    0.49530E-03    0.21065E+03
    0.50531E-03    0.21472E+03
    0.51552E-03    0.21888E+03
    0.52593E-03    0.22310E+03
    0.53656E-03    0.22741E+03
    0.54739E-03    0.23180E+03
    0.55845E-03    0.23628E+03
    0.56973E-03    0.24084E+03
    0.58124E-03    0.24548E+03
    0.59299E-03    0.25021E+03
    0.60496E-03    0.25503E+03
    0.61719E-03    0.25994E+03
    0.62965E-03    0.26495E+03
    0.64237E-03    0.27004E+03
    0.65535E-03    0.27524E+03
    0.66859E-03    0.28053E+03
    0.68210E-03    0.28591E+03
    0.69588E-03    0.29140E+03
    0.70993E-03    0.29699E+03
    0.72427E-03    0.30268E+03
    0.73891E-03    0.30848E+03
    0.75383E-03    0.31439E+03
    0.76906E-03    0.32040E+03
    0.78460E-03    0.32653E+03
    0.80045E-03    0.33277E+03
    0.81662E-03    0.33912E+03
    0.83311E-03    0.34559E+03
    0.84994E-03    0.35218E+03
    0.86711E-03    0.35888E+03
    0.88463E-03    0.36571E+03
    0.90250E-03    0.37266E+03
    0.92073E-03    0.37974E+03
    0.93933E-03    0.38694E+03
    0.95831E-03    0.39428E+03
    0.97767E-03    0.40174E+03
    0.99742E-03    0.40934E+03
    0.10176E-02    0.41708E+03
    0.10381E-02    0.42495E+03
    0.10591E-02    0.43296E+03
    0.10805E-02    0.44111E+03
    0.11023E-02    0.44941E+03
    0.11246E-02    0.45785E+03
    0.11473E-02    0.46644E+03
    0.11705E-02    0.47518E+03
    0.11941E-02    0.48407E+03
    0.12182E-02    0.49312E+03
    0.12429E-02    0.50232E+03
    0.12680E-02    0.51167E+03
    0.12936E-02    0.52119E+03
    0.13197E-02    0.53087E+03
    0.13464E-02    0.54072E+03
    0.13736E-02    0.55072E+03
    0.14013E-02    0.56090E+03
    0.14296E-02    0.57125E+03
    0.14585E-02    0.58177E+03
